# Sensor type: Thingy
# Activity type: Sitting
# Activity subtype: Normal
# Subject id: s2094705
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695828930134,-0.05078125,-0.84472656,0.51953125,-0.25,-0.15625,0.0,0.0,0.0,0.0
1695828930174,-0.044921875,-0.8564453,0.5048828,-0.375,-0.34375,-0.3125,0.0,0.0,0.0
1695828930214,-0.041015625,-0.8486328,0.5097656,-0.3125,-0.09375,-0.125,0.0,0.0,0.0
1695828930254,-0.038085938,-0.85546875,0.50390625,0.125,-0.09375,-0.0625,0.0,0.0,0.0
1695828930294,-0.05078125,-0.8486328,0.50097656,0.4375,0.09375,-0.125,0.0,0.0,0.0
1695828930334,-0.048828125,-0.85058594,0.51953125,0.5,0.21875,0.0,0.0,0.0,0.0
1695828930374,-0.041015625,-0.8486328,0.5078125,0.3125,-0.03125,0.0,0.0,0.0,0.0
1695828930414,-0.033203125,-0.8515625,0.5019531,0.0625,0.15625,0.0,0.0,0.0,0.0
1695828930454,-0.043945312,-0.86035156,0.49902344,0.0,0.03125,0.0,0.0,0.0,0.0
1695828930494,-0.04296875,-0.8496094,0.4951172,0.0,0.03125,-0.0625,53.375,-66.6875,-75.0625
1695828930534,-0.041992188,-0.8535156,0.5126953,-0.1875,-0.09375,-0.0625,0.0,0.0,0.0
1695828930574,-0.049804688,-0.8496094,0.50390625,-0.125,0.03125,0.0,0.0,0.0,0.0
1695828930614,-0.055664062,-0.84765625,0.5058594,0.25,0.09375,0.125,0.0,0.0,0.0
1695828930655,-0.04296875,-0.85546875,0.51171875,0.125,0.21875,-0.25,0.0,0.0,0.0
1695828930695,-0.049804688,-0.84765625,0.49902344,0.125,0.21875,-0.125,0.0,0.0,0.0
1695828930735,-0.040039062,-0.8515625,0.5058594,0.375,0.09375,-0.0625,0.0,0.0,0.0
1695828930775,-0.0390625,-0.84472656,0.5078125,0.1875,-0.03125,-0.0625,0.0,0.0,0.0
1695828930815,-0.015625,-0.8515625,0.5107422,0.0,0.59375,-0.0625,0.0,0.0,0.0
1695828930855,-0.0146484375,-0.8515625,0.49902344,0.0625,0.40625,-0.125,0.0,0.0,0.0
1695828930895,-0.022460938,-0.86035156,0.5107422,0.125,-0.21875,-0.375,0.0,0.0,0.0
1695828930935,-0.0068359375,-0.8515625,0.5029297,0.0,-0.28125,0.125,0.0,0.0,0.0
1695828930975,-0.0068359375,-0.8564453,0.5048828,0.25,-0.34375,0.0625,0.0,0.0,0.0
1695828931015,-0.005859375,-0.8515625,0.49609375,0.0625,0.34375,-0.125,0.0,0.0,0.0
1695828931055,-0.01171875,-0.8623047,0.5107422,0.5,0.21875,-0.0625,0.0,0.0,0.0
1695828931095,-0.015625,-0.85253906,0.5048828,-0.0625,0.40625,0.125,54.125,-65.9375,-74.3125
1695828931135,-0.013671875,-0.8486328,0.50390625,0.4375,0.21875,-0.1875,0.0,0.0,0.0
1695828931175,-0.0146484375,-0.85546875,0.51660156,0.25,-0.09375,-0.125,0.0,0.0,0.0
1695828931215,-0.015625,-0.8544922,0.50390625,0.0625,-0.21875,0.0625,0.0,0.0,0.0
1695828931255,-0.0126953125,-0.85058594,0.50390625,0.25,-0.40625,0.125,0.0,0.0,0.0
1695828931295,-0.00390625,-0.8544922,0.5019531,0.1875,0.03125,-0.0625,0.0,0.0,0.0
1695828931335,-0.009765625,-0.85546875,0.48828125,-0.5,0.15625,-0.0625,0.0,0.0,0.0
1695828931376,-0.0068359375,-0.8720703,0.5,0.0,0.09375,0.0,0.0,0.0,0.0
1695828931416,-0.0126953125,-0.8535156,0.5029297,-0.0625,-0.21875,0.125,0.0,0.0,0.0
1695828931456,-0.015625,-0.86328125,0.5029297,0.1875,-0.34375,0.25,0.0,0.0,0.0
1695828931496,-0.01171875,-0.85253906,0.50097656,0.1875,0.03125,0.125,0.0,0.0,0.0
1695828931536,-0.017578125,-0.8564453,0.5029297,0.0625,-0.03125,0.0625,0.0,0.0,0.0
1695828931576,-0.013671875,-0.8613281,0.50390625,0.1875,-0.03125,-0.1875,53.375,-66.6875,-73.25
1695828931616,-0.0087890625,-0.8564453,0.5019531,-0.125,0.09375,-0.125,0.0,0.0,0.0
1695828931656,-0.015625,-0.8652344,0.50683594,0.0625,0.09375,-0.25,0.0,0.0,0.0
1695828931696,-0.020507812,-0.85058594,0.51464844,0.375,-0.09375,0.0,0.0,0.0,0.0
1695828931736,-0.0029296875,-0.8613281,0.50097656,0.5625,-0.03125,0.0625,0.0,0.0,0.0
1695828931776,-0.01171875,-0.8564453,0.5058594,0.25,-0.21875,0.40625,0.0,0.0,0.0
1695828931816,-0.0126953125,-0.8544922,0.5078125,0.1875,0.21875,0.3125,0.0,0.0,0.0
1695828931856,-0.0107421875,-0.85058594,0.50390625,0.4375,0.03125,0.375,0.0,0.0,0.0
1695828931896,-0.013671875,-0.85058594,0.50097656,-0.25,-0.09375,0.3125,0.0,0.0,0.0
1695828931936,-0.0234375,-0.8515625,0.5019531,-0.1875,-0.21875,0.125,0.0,0.0,0.0
1695828931976,-0.017578125,-0.8486328,0.52441406,-0.1875,-0.09375,-0.25,0.0,0.0,0.0
1695828932016,-0.0087890625,-0.86621094,0.50683594,-0.1875,-0.15625,-0.375,0.0,0.0,0.0
1695828932056,-0.005859375,-0.85839844,0.50097656,0.0625,0.03125,-0.125,54.875,-66.25,-73.6875
1695828932097,-0.018554688,-0.859375,0.5019531,0.125,-0.34375,0.0625,0.0,0.0,0.0
1695828932137,-0.01953125,-0.8544922,0.5048828,0.0625,-0.03125,0.0625,0.0,0.0,0.0
1695828932177,-0.009765625,-0.8652344,0.5058594,0.375,0.09375,0.3125,0.0,0.0,0.0
1695828932217,-0.016601562,-0.85546875,0.50683594,0.0625,0.15625,0.0,0.0,0.0,0.0
1695828932257,-0.013671875,-0.8515625,0.4970703,-0.1875,0.34375,0.1875,0.0,0.0,0.0
1695828932297,-0.005859375,-0.8535156,0.50683594,-0.1875,-0.03125,0.0,0.0,0.0,0.0
1695828932337,-0.01953125,-0.85546875,0.51171875,0.1875,0.03125,-0.25,0.0,0.0,0.0
