# Sensor type: Respeck
# Activity type: Sitting
# Activity subtype: Normal
# Subject id: s2094705
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695828863696,0.44506836,-0.7683716,-0.43121338,-0.203125,-0.921875,0.265625
1695828863736,0.4465332,-0.7749634,-0.44610596,-0.671875,-0.765625,-0.171875
1695828863776,0.45141602,-0.77130127,-0.44317627,0.0,-0.21875,0.015625
1695828863816,0.44750977,-0.7817993,-0.44000244,-0.59375,-0.765625,-0.140625
1695828863856,0.4609375,-0.767395,-0.44439697,-0.515625,0.359375,-0.359375
1695828863896,0.44702148,-0.77178955,-0.4439087,-0.640625,-0.453125,0.0625
1695828863936,0.037841797,-1.0025024,-0.10308838,-0.625,-0.453125,0.171875
1695828863976,0.040771484,-0.9854126,-0.09649658,-0.625,-0.0625,-0.03125
1695828864016,0.05126953,-0.9890747,-0.10748291,-1.46875,0.0,-0.203125
1695828864056,0.050048828,-0.99176025,-0.093322754,-1.0625,0.484375,0.0625
1695828864096,0.041748047,-0.99835205,-0.093322754,-1.046875,-0.234375,0.15625
1695828864136,0.038330078,-0.9854126,-0.109680176,-0.96875,0.03125,-0.1875
1695828864176,0.05126953,-0.9907837,-0.0881958,-0.390625,-0.265625,0.25
1695828864216,0.045410156,-0.987854,-0.09552002,-0.59375,-0.21875,-0.046875
1695828864256,0.050048828,-0.98638916,-0.09136963,-0.578125,-0.203125,-0.046875
1695828864296,0.045654297,-0.9949341,-0.097229004,-0.765625,-0.453125,0.171875
1695828864336,0.041259766,-0.99957275,-0.09112549,-0.625,-0.828125,0.15625
1695828864377,0.060546875,-0.9961548,-0.09454346,-1.125,0.21875,0.15625
1695828864417,0.049804688,-0.9939575,-0.08526611,-0.09375,-1.53125,0.734375
1695828864457,0.046875,-0.9763794,-0.11236572,-1.0625,0.5,-0.109375
1695828864497,0.045410156,-1.0088501,-0.08453369,-0.140625,-0.3125,0.1875
1695828864537,0.048095703,-0.9915161,-0.0947876,-0.03125,0.0625,0.3125
1695828864577,0.0546875,-0.9890747,-0.09136963,-0.421875,0.125,0.09375
1695828864617,0.045410156,-0.99835205,-0.09893799,-0.328125,-0.1875,0.28125
1695828864657,0.04711914,-0.99005127,-0.09039307,-0.203125,-0.703125,0.203125
1695828864697,0.0625,-0.9866333,-0.09527588,-0.296875,-0.5625,0.265625
1695828864737,0.05029297,-0.99224854,-0.09649658,-0.109375,-0.859375,0.53125
1695828864777,0.04663086,-0.99468994,-0.09234619,-0.140625,-1.03125,0.359375
1695828864817,0.05419922,-0.9902954,-0.09942627,-0.203125,-0.65625,0.140625
1695828864857,0.05444336,-0.99468994,-0.089416504,-0.078125,-1.390625,0.015625
1695828864897,0.053710938,-0.99102783,-0.097473145,-0.5,-1.078125,0.171875
1695828864937,0.053222656,-0.98687744,-0.09649658,-0.3125,-0.609375,-0.125
1695828864977,0.059814453,-0.99102783,-0.09429932,-0.4375,-0.78125,-0.09375
1695828865017,0.05029297,-0.9920044,-0.08795166,-0.21875,-1.171875,-0.078125
1695828865057,0.072509766,-0.9793091,-0.10748291,-1.375,0.4375,-0.46875
1695828865097,0.056152344,-0.99468994,-0.09112549,-0.5,-1.796875,-0.0625
1695828865138,0.06225586,-0.98028564,-0.11431885,-1.5625,1.015625,-0.4375
1695828865178,0.049804688,-1.0042114,-0.08135986,-0.4375,-0.671875,-0.28125
1695828865218,0.051757812,-0.9998169,-0.09454346,-0.703125,-0.53125,-0.265625
1695828865258,0.060058594,-0.97979736,-0.09210205,-1.46875,0.125,-0.21875
1695828865298,0.045898438,-0.9944458,-0.0881958,-1.59375,-0.34375,0.0
1695828865338,0.05517578,-0.98883057,-0.08306885,-1.515625,-0.9375,-0.25
